Name,D,R2,POAV_VF,Topology,Topology_manually_updated
221011N2_ddec,1.10E-05,0.965339468,0.59788,sql,FALSE
221012N2_ddec,2.75E-05,0.964301033,0.61594,sql,FALSE
221013N2_ddec,1.98E-05,0.85608834,0.6272,sql,FALSE
22101N2_ddec,1.91E-06,0.854156807,0.40778,hcb,FALSE
22103N2_ddec,1.62E-05,0.922549064,0.50268,kgm,TRUE
22105N2_ddec,1.20E-05,0.88249811,0.48808,sql,FALSE
22106N2_ddec,8.11E-06,0.960515349,0.46602,hcb,FALSE
22108N2_ddec,1.20E-05,0.961583353,0.52148,kgm,TRUE
22140N2_ddec,1.08E-07,0.795229214,0.40522,hcb,FALSE
22141N2_ddec,2.66E-05,0.948026298,0.54026,hcb,FALSE
22143N2_ddec,1.36E-05,0.946836976,0.4966,hcb,FALSE
22150N2_ddec,2.72E-06,0.894031284,0.31942,sql,TRUE
22160N2_ddec,7.06E-05,0.728704678,0.61574,hcb,FALSE
22171N2_ddec,2.22E-06,0.917708836,0.64722,hcb,FALSE
22172N2_ddec,1.34E-05,0.829612385,0.68856,hcb,FALSE
22180N2_ddec,2.68E-06,0.822341592,0.56796,hcb,FALSE
22181N2_ddec,2.05E-05,0.826853371,0.56782,hcb,FALSE
22182N2_ddec,1.50E-05,0.956568284,0.4631,hcb,FALSE
22270N2_ddec,7.44E-06,0.874303852,0.4949,hcb,FALSE
22271N2_ddec,3.54E-05,0.960828556,0.61004,hcb,FALSE
22272N2_ddec,9.02E-06,0.981922739,0.3018,sql,FALSE
22290N2_ddec,0.000478563,0.97305709,0.0244,sql,TRUE
22320N2_ddec,1.41E-06,0.871480457,0.27348,cem,FALSE
22322N2_ddec,1.13E-06,0.898987172,0.45794,cem,FALSE
22390N2_ddec,4.45E-05,0.950189762,0.69848,hcb,FALSE
22411N2_ddec,1.61E-05,0.792715041,0.70524,hcb,FALSE
22420N2_ddec,2.25E-07,0.843998475,0.49446,hcb,FALSE
22440N2_ddec,3.56E-05,0.923449644,0.6241,hcb,FALSE
22450N2_ddec,5.31E-05,0.969456802,0.45144,sql,TRUE
22451N2_ddec,9.00E-05,0.946317385,0.69302,hcb,FALSE
22453N2_ddec,9.84E-07,0.941281208,0.60022,kgm,TRUE
22458N2_ddec,8.07E-05,0.979931297,0.62468,kgm,TRUE
2245aN2_ddec,5.95E-05,0.74700676,0.67994,hcb,FALSE
2245bN2_ddec,0.000149405,0.888929428,0.56984,sql,FALSE
2245cN2_ddec,1.57E-06,0.860270976,0.69638,sql,FALSE
2245dN2_ddec,3.96E-05,0.959491037,0.67394,kgm,TRUE
2245eN2_ddec,1.91E-05,0.971788262,0.4015,bex,FALSE
2245fN2_ddec,4.80E-06,0.904320416,0.4646,hcb,FALSE
2245gN2_ddec,2.69E-05,0.987956854,0.36258,bex,TRUE
2245hN2_ddec,5.07E-05,0.89697688,0.5776,bex,TRUE
2245jN2_ddec,1.65E-05,0.710391038,0.59948,hcb,FALSE
2245lN2_ddec,1.28E-05,0.930831368,0.59906,hcb,FALSE
2245oN2_ddec,1.38E-07,0.701058787,0.54616,hcb,FALSE
2245tN2_ddec,7.64E-07,0.920908826,0.52656,hcb,FALSE
2245uN2_ddec,4.41E-08,0.805607362,0.51888,hcb,FALSE
22520N2_ddec,1.75E-06,0.733285556,0.68938,sql,TRUE
22530N2_ddec,4.67E-05,0.908748229,0.7669,hcb,FALSE
